id,edad,genero,pais,tipo_habitacion,precio_por_noche,tipo_tarjeta,noches,todo_incluido,mantenimiento_por_noche
188,38,hombre,Francia,cuadruple,70€,otra,7,no,
189,41,mujer,EEUU,triple,50€,MasterCard,1,no,
190,33,mujer,Chile,doble,70€,MasterCard,8,si,
191,22,mujer,México,individual,50€,MasterCard,4,si,10€
192,30,hombre,Chile,cuadruple,,otra,10,si,15€
193,51,hombre,Italia,triple,90€,otra,5,si,
194,36,hombre,Italia,doble,150€,Amex,3,si,10€
195,79,mujer,México,individual,50€,MasterCard,9,no,10€
196,25,mujer,Colombia,doble,50€,otra,1,no,10€
197,23,mujer,España,individual,,Visa,5,si,10€
198,21,hombre,Colombia,doble,50€,otra,9,no,
199,40,mujer,Italia,triple,90€,Visa,5,si,15€
200,84,hombre,México,doble,70€,MasterCard,9,no,20€
201,50,mujer,Chile,individual,120€,otra,1,si,15€
202,45,hombre,Colombia,triple,90€,MasterCard,1,no,20€
203,55,hombre,Italia,triple,50€,Visa,7,si,5€
204,18,mujer,México,triple,150€,Amex,9,si,10€
205,87,hombre,EEUU,triple,,Amex,7,si,5€
206,63,hombre,Francia,doble,90€,otra,4,no,15€
207,45,hombre,EEUU,doble,50€,Visa,8,si,15€
208,39,hombre,EEUU,doble,,Amex,10,si,15€
209,22,hombre,Colombia,doble,90€,MasterCard,4,no,10€
210,37,mujer,España,triple,150€,Amex,8,no,15€
211,39,mujer,Alemania,triple,70€,otra,2,no,5€
212,77,hombre,EEUU,individual,50€,otra,3,no,15€
213,43,hombre,Italia,cuadruple,120€,Amex,4,si,
214,74,hombre,Francia,individual,120€,MasterCard,10,no,20€
215,56,hombre,Colombia,individual,50€,Amex,10,si,15€
216,40,mujer,Colombia,triple,50€,Amex,10,si,15€
217,69,mujer,Argentina,cuadruple,150€,Amex,7,si,10€
218,31,mujer,Alemania,individual,150€,otra,10,si,
219,34,mujer,España,doble,50€,Visa,5,no,20€
220,90,hombre,EEUU,individual,120€,Amex,3,si,10€
221,89,hombre,Francia,individual,120€,Amex,2,si,
222,80,mujer,Chile,individual,,otra,3,no,15€
223,37,mujer,Argentina,individual,150€,otra,2,si,20€
224,61,hombre,Chile,doble,150€,MasterCard,10,no,
225,71,mujer,EEUU,triple,120€,MasterCard,6,si,10€
226,52,hombre,España,doble,70€,Amex,1,no,15€
227,33,mujer,México,individual,150€,Amex,2,si,
228,47,mujer,EEUU,triple,90€,otra,1,no,
229,71,hombre,México,individual,200€,otra,2,si,5€
230,48,hombre,Francia,triple,50€,otra,5,si,20€
231,29,mujer,Argentina,cuadruple,90€,Amex,10,no,10€
232,23,hombre,Chile,cuadruple,150€,Visa,2,no,10€
233,58,mujer,México,individual,70€,otra,4,si,20€
234,87,mujer,México,cuadruple,150€,otra,7,no,5€
235,32,mujer,EEUU,doble,90€,Visa,10,si,10€
236,51,hombre,Chile,triple,,MasterCard,9,no,20€
237,59,mujer,EEUU,individual,50€,Visa,1,no,20€
238,20,mujer,Argentina,doble,70€,Visa,7,si,20€
239,67,hombre,Francia,cuadruple,70€,Amex,6,no,5€
240,43,mujer,Francia,cuadruple,,MasterCard,7,si,15€
241,80,mujer,España,cuadruple,200€,otra,9,si,5€
242,57,hombre,Chile,doble,70€,Amex,5,no,20€
243,34,hombre,EEUU,individual,120€,otra,9,si,20€
244,55,hombre,Alemania,cuadruple,90€,Amex,7,si,
245,67,hombre,Argentina,individual,200€,Amex,7,si,10€
246,36,hombre,Argentina,triple,120€,otra,4,si,20€
247,87,mujer,Colombia,individual,70€,MasterCard,9,si,5€
248,23,hombre,México,individual,70€,Amex,6,no,5€
249,81,mujer,Colombia,triple,,MasterCard,7,si,20€
250,55,hombre,Italia,doble,70€,MasterCard,4,si,10€
251,90,hombre,México,cuadruple,,otra,4,si,
252,84,hombre,España,doble,150€,MasterCard,7,si,20€
253,71,mujer,Alemania,cuadruple,70€,otra,8,si,5€
254,44,mujer,España,cuadruple,,otra,6,no,10€
255,71,mujer,España,triple,120€,Amex,10,si,5€
256,54,mujer,Alemania,triple,200€,otra,9,no,5€
257,56,mujer,Italia,cuadruple,50€,otra,1,no,15€
258,29,mujer,México,cuadruple,150€,MasterCard,6,si,10€
259,38,mujer,Argentina,doble,150€,Amex,10,si,20€
260,85,hombre,Italia,individual,150€,Visa,10,no,5€
261,56,hombre,Chile,triple,150€,Visa,7,no,20€
262,44,mujer,España,doble,120€,MasterCard,3,no,5€
263,59,hombre,Colombia,individual,50€,Amex,4,no,15€
264,84,hombre,Argentina,individual,70€,otra,6,no,15€
265,71,mujer,Argentina,doble,70€,Visa,9,si,
266,70,mujer,Argentina,triple,70€,Visa,7,si,15€
267,30,mujer,Alemania,individual,90€,Amex,6,no,20€
268,49,mujer,España,triple,120€,MasterCard,10,si,15€
269,56,hombre,Chile,triple,150€,Amex,8,no,10€
270,69,hombre,Argentina,triple,200€,otra,3,no,
271,77,hombre,Italia,individual,150€,Visa,2,si,20€
272,39,mujer,México,doble,90€,Visa,7,no,15€
273,45,mujer,Chile,triple,90€,otra,2,no,
274,82,mujer,Colombia,doble,50€,Amex,7,no,
275,56,hombre,España,individual,200€,Visa,4,no,
276,22,hombre,Francia,doble,90€,MasterCard,3,si,
277,41,mujer,Chile,individual,90€,otra,1,si,10€
278,80,hombre,Argentina,cuadruple,70€,otra,9,no,20€
279,39,hombre,México,triple,200€,otra,10,no,15€
280,39,hombre,Italia,triple,120€,Visa,3,si,
281,39,mujer,Chile,doble,120€,otra,8,si,5€
282,43,hombre,Alemania,triple,,Visa,1,no,
283,20,hombre,EEUU,triple,70€,Amex,9,no,20€
284,28,mujer,Colombia,doble,90€,Visa,3,no,15€
285,65,mujer,Argentina,individual,90€,MasterCard,4,si,10€
286,47,mujer,Italia,cuadruple,50€,otra,9,si,
287,63,mujer,Alemania,doble,150€,Amex,4,si,20€
288,62,mujer,Francia,doble,200€,otra,3,no,20€
289,64,mujer,España,cuadruple,50€,otra,3,si,15€
290,71,mujer,EEUU,individual,120€,Visa,9,si,
291,56,mujer,Italia,doble,150€,Visa,7,no,20€
292,34,hombre,México,individual,150€,MasterCard,2,si,10€
293,44,mujer,México,cuadruple,,Visa,2,si,
294,58,mujer,España,cuadruple,70€,Visa,7,si,15€
295,85,hombre,EEUU,doble,120€,otra,3,no,5€
296,73,hombre,Italia,doble,200€,Visa,1,no,15€
297,75,hombre,Francia,cuadruple,70€,MasterCard,10,si,20€
298,88,hombre,España,cuadruple,200€,Visa,7,si,10€
299,50,mujer,Italia,individual,150€,Visa,3,no,20€
300,76,hombre,México,triple,120€,otra,9,no,15€
301,87,hombre,Alemania,individual,,otra,8,no,
302,49,hombre,Chile,triple,120€,Visa,6,no,20€
303,56,mujer,Chile,individual,150€,MasterCard,5,no,5€
304,70,hombre,EEUU,individual,90€,otra,4,si,20€
305,86,hombre,Alemania,triple,70€,Amex,6,no,15€
306,82,mujer,Alemania,triple,70€,Visa,2,si,
307,67,hombre,Argentina,individual,200€,Visa,3,si,15€
308,69,hombre,Alemania,doble,50€,Amex,5,no,5€
309,53,hombre,Alemania,doble,150€,Visa,1,si,20€
310,22,mujer,Argentina,cuadruple,150€,MasterCard,7,no,15€
311,21,mujer,España,cuadruple,120€,MasterCard,1,si,
312,64,mujer,Chile,triple,50€,otra,4,si,
313,42,mujer,Alemania,individual,200€,otra,4,si,10€
314,32,mujer,EEUU,triple,120€,otra,3,si,5€
315,90,mujer,Italia,individual,70€,MasterCard,10,si,20€
316,52,hombre,Colombia,individual,70€,Visa,4,no,5€
317,78,mujer,EEUU,triple,120€,otra,1,no,10€
318,75,mujer,Chile,individual,90€,MasterCard,10,si,20€
319,46,hombre,Colombia,triple,200€,Amex,4,no,10€
320,74,hombre,Francia,doble,50€,Visa,10,no,10€
321,40,hombre,España,triple,,Amex,10,no,20€
322,48,hombre,EEUU,triple,200€,Visa,10,si,15€
323,65,mujer,Alemania,cuadruple,90€,MasterCard,6,no,20€
324,47,hombre,EEUU,doble,200€,Visa,10,no,5€
325,49,hombre,EEUU,individual,,Visa,10,no,20€
326,89,mujer,Alemania,triple,120€,otra,7,no,15€
327,82,mujer,Argentina,cuadruple,,MasterCard,2,no,20€
328,49,hombre,Colombia,triple,120€,MasterCard,10,si,10€
329,69,hombre,Chile,doble,120€,Amex,10,no,5€
330,70,mujer,Colombia,doble,90€,otra,7,no,
331,81,hombre,Francia,triple,90€,Amex,5,si,15€
332,62,hombre,Italia,individual,200€,Visa,1,si,15€
333,45,mujer,EEUU,triple,90€,otra,4,no,15€
334,43,hombre,Chile,cuadruple,120€,Amex,8,no,20€
335,30,mujer,Chile,triple,70€,Amex,8,si,
336,77,hombre,Chile,triple,150€,MasterCard,8,no,10€
337,39,mujer,México,doble,200€,Visa,2,si,15€
338,67,mujer,Francia,doble,90€,Visa,3,si,20€
339,53,mujer,Italia,doble,120€,Amex,7,si,
340,44,hombre,Colombia,triple,,otra,6,si,10€
341,63,hombre,Chile,triple,70€,otra,8,si,10€
342,52,mujer,Francia,triple,150€,otra,7,no,20€
343,19,hombre,EEUU,cuadruple,70€,otra,9,no,20€
344,74,hombre,España,doble,120€,otra,4,no,10€
345,79,hombre,Italia,individual,70€,otra,10,no,5€
346,46,hombre,EEUU,individual,50€,Amex,1,no,5€
347,71,mujer,Chile,individual,120€,MasterCard,5,si,15€
348,29,mujer,México,doble,70€,Visa,4,si,20€
349,83,mujer,Argentina,doble,,Amex,9,si,20€
350,81,hombre,Italia,cuadruple,120€,otra,4,si,20€
351,79,hombre,EEUU,individual,,Visa,3,no,15€
352,81,mujer,EEUU,triple,200€,Amex,1,si,10€
353,44,mujer,Alemania,cuadruple,50€,MasterCard,6,si,20€
354,63,hombre,Argentina,triple,70€,otra,3,no,10€
355,54,mujer,España,cuadruple,50€,Visa,3,si,15€
356,20,hombre,Italia,individual,50€,Visa,1,si,20€
357,56,hombre,Alemania,doble,,Amex,8,no,15€
358,54,hombre,Alemania,triple,70€,Visa,4,no,10€
359,90,hombre,Italia,doble,70€,Visa,3,si,
360,83,hombre,Italia,triple,150€,MasterCard,2,si,15€
361,39,hombre,México,individual,50€,otra,4,no,15€
362,68,hombre,EEUU,doble,90€,otra,2,si,10€
363,67,mujer,Italia,doble,50€,Visa,3,si,15€
364,73,mujer,México,individual,50€,Amex,8,si,5€
365,74,hombre,EEUU,individual,,Visa,4,no,5€
366,21,mujer,Argentina,triple,,MasterCard,8,si,10€
367,27,hombre,Alemania,cuadruple,120€,Visa,9,si,10€
368,49,hombre,Argentina,cuadruple,90€,Visa,8,no,5€
369,21,hombre,Argentina,triple,150€,otra,3,si,15€
370,44,mujer,Argentina,cuadruple,150€,MasterCard,8,si,5€
371,48,hombre,México,cuadruple,,Amex,5,no,15€
372,40,mujer,España,individual,50€,otra,6,si,20€
373,70,mujer,Alemania,doble,200€,MasterCard,7,si,20€
374,46,hombre,España,cuadruple,200€,Visa,7,no,20€
375,63,mujer,México,doble,50€,Visa,3,si,5€
376,52,hombre,España,doble,200€,Amex,9,si,20€
377,37,mujer,EEUU,triple,90€,Visa,5,si,20€
378,68,mujer,Chile,triple,,otra,1,si,15€
379,26,hombre,Francia,cuadruple,200€,MasterCard,3,no,
380,20,mujer,México,cuadruple,120€,Amex,1,no,5€
381,56,hombre,Alemania,doble,200€,MasterCard,6,si,10€
382,59,hombre,España,doble,50€,Amex,3,no,10€
383,36,hombre,EEUU,doble,,Visa,8,no,15€
384,32,mujer,Argentina,individual,120€,Amex,9,no,
385,75,hombre,Francia,individual,,Amex,9,si,15€
386,90,hombre,Colombia,triple,,Amex,6,si,20€
387,57,hombre,Alemania,doble,150€,Amex,2,si,
388,84,mujer,Francia,doble,120€,Amex,7,no,5€
389,21,mujer,Argentina,triple,200€,otra,1,si,
390,33,mujer,México,individual,120€,otra,5,no,5€
391,63,mujer,México,cuadruple,90€,otra,2,si,20€
392,80,mujer,Colombia,triple,50€,Visa,7,no,5€
393,62,hombre,México,doble,,otra,4,si,20€
394,86,mujer,Italia,cuadruple,50€,Visa,6,si,10€
395,75,mujer,Italia,cuadruple,50€,otra,9,si,20€
396,30,mujer,Argentina,cuadruple,150€,Amex,8,no,20€
397,38,mujer,Colombia,triple,120€,otra,4,si,
398,35,mujer,Francia,individual,50€,otra,2,no,
399,58,mujer,México,triple,90€,otra,6,si,
400,38,hombre,Colombia,individual,120€,otra,10,si,5€
401,58,mujer,Alemania,doble,,otra,1,si,20€
402,36,mujer,EEUU,individual,120€,MasterCard,7,no,5€
403,58,mujer,México,cuadruple,200€,otra,1,no,15€
404,40,hombre,Francia,doble,150€,otra,9,si,
405,36,hombre,Alemania,triple,70€,otra,6,si,5€
406,20,hombre,España,individual,70€,Amex,1,no,10€
407,27,hombre,México,triple,70€,MasterCard,7,no,
408,87,hombre,Francia,individual,50€,otra,10,no,
409,42,mujer,Italia,doble,200€,MasterCard,2,no,10€
410,24,mujer,España,triple,90€,Visa,8,si,5€
411,27,hombre,México,cuadruple,120€,Amex,8,no,5€
412,89,hombre,Chile,triple,90€,Amex,6,no,10€
413,28,hombre,Colombia,individual,50€,Visa,9,si,5€
414,19,mujer,Alemania,triple,200€,Visa,2,no,15€
415,31,hombre,Alemania,doble,150€,otra,6,no,15€
416,62,mujer,Colombia,cuadruple,150€,MasterCard,2,si,10€
417,33,mujer,España,individual,,MasterCard,8,si,10€
418,74,mujer,Colombia,triple,200€,Amex,5,no,
419,79,hombre,México,cuadruple,70€,Visa,7,si,20€
420,87,mujer,México,cuadruple,150€,otra,7,no,10€
421,68,hombre,EEUU,doble,120€,MasterCard,1,si,
422,48,mujer,España,triple,150€,otra,6,si,20€
423,22,hombre,España,triple,200€,Visa,4,no,15€
424,47,mujer,Italia,cuadruple,,MasterCard,9,no,20€
425,77,hombre,Italia,doble,90€,MasterCard,1,no,5€
426,20,hombre,Alemania,cuadruple,200€,MasterCard,4,no,5€
427,34,hombre,España,cuadruple,150€,MasterCard,2,no,5€
428,54,mujer,Alemania,individual,50€,MasterCard,5,no,15€
429,83,hombre,México,individual,120€,otra,2,si,5€
430,47,hombre,España,doble,120€,MasterCard,10,si,15€
431,31,mujer,Italia,doble,120€,MasterCard,10,si,15€
432,67,hombre,EEUU,doble,70€,MasterCard,10,no,
433,48,mujer,EEUU,cuadruple,120€,Amex,2,si,
434,53,hombre,México,triple,150€,otra,8,no,15€
435,77,mujer,Argentina,doble,120€,otra,10,no,20€
436,85,mujer,Alemania,individual,120€,Visa,6,si,20€
437,27,hombre,Italia,doble,90€,MasterCard,5,si,10€
438,40,mujer,EEUU,doble,120€,otra,10,si,15€
439,51,hombre,Italia,doble,200€,Amex,2,si,
440,72,mujer,Argentina,cuadruple,150€,Visa,6,no,15€
441,54,mujer,Alemania,cuadruple,,MasterCard,10,si,
442,24,hombre,Alemania,cuadruple,150€,Visa,1,no,
443,69,hombre,Colombia,individual,50€,Visa,2,no,20€
444,56,hombre,México,individual,120€,Amex,5,no,5€
445,64,hombre,Chile,doble,50€,Amex,6,si,
446,66,mujer,Argentina,triple,120€,Visa,2,no,
447,23,mujer,EEUU,individual,,Amex,6,si,15€
448,73,hombre,México,triple,120€,Amex,5,si,15€
449,39,mujer,Francia,doble,150€,MasterCard,3,si,10€
450,30,hombre,Italia,triple,120€,Visa,10,no,5€
451,57,hombre,Italia,individual,70€,otra,1,no,5€
452,19,hombre,México,individual,90€,Visa,10,si,5€
453,71,mujer,EEUU,doble,70€,Visa,1,no,5€
454,65,hombre,Italia,triple,200€,otra,1,si,15€
455,77,hombre,Francia,cuadruple,120€,Visa,8,si,
456,48,hombre,México,triple,150€,Amex,7,si,10€
457,57,hombre,México,cuadruple,50€,Visa,5,no,5€
458,59,hombre,Francia,doble,,Visa,6,no,10€
459,79,mujer,Colombia,cuadruple,50€,Visa,6,si,20€
460,39,mujer,Alemania,doble,70€,otra,8,no,15€
461,56,hombre,España,individual,200€,Visa,4,no,5€
462,36,hombre,EEUU,doble,200€,otra,4,no,
463,71,hombre,Argentina,triple,50€,MasterCard,5,si,5€
464,73,mujer,Francia,triple,70€,MasterCard,7,no,20€
465,88,hombre,Argentina,doble,,Amex,1,si,5€
466,19,mujer,Italia,cuadruple,150€,Amex,8,no,15€
467,41,hombre,Francia,individual,120€,MasterCard,3,si,5€
468,81,mujer,Colombia,individual,90€,Visa,1,si,10€
469,67,mujer,EEUU,triple,50€,otra,8,si,
470,54,hombre,Colombia,doble,150€,Amex,1,si,15€
471,59,mujer,México,cuadruple,50€,Visa,6,si,15€
472,20,hombre,Italia,triple,50€,Visa,10,si,5€
473,46,mujer,Colombia,cuadruple,150€,Visa,8,si,10€
474,56,hombre,EEUU,doble,50€,otra,10,si,15€
475,39,hombre,Alemania,individual,70€,Visa,2,si,15€
